"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 06 21:16:07 GMT 2023","Thu Apr 06 21:16:09 GMT 2023","1334","tests","test_Signup_Login","TestSignup","","","test_TestCase4_Logout_User[chromium]",""
"passed","Thu Apr 06 21:16:06 GMT 2023","Thu Apr 06 21:16:06 GMT 2023","775","tests","test_Signup_Login","TestSignup","","","test_TestCase3_Login_User_with_incorrect_email_and_password[chromium]",""
"passed","Thu Apr 06 21:15:40 GMT 2023","Thu Apr 06 21:15:41 GMT 2023","1259","tests","test_Products","TestContactUs","","","test_TestCase9_Search_Product[chromium]",""
"passed","Thu Apr 06 21:15:23 GMT 2023","Thu Apr 06 21:15:29 GMT 2023","6053","tests","test_Place_Order","TestContactUs","","","test_TestCase23_Verify_address_details_in_checkout_page[chromium]",""
"passed","Thu Apr 06 21:16:20 GMT 2023","Thu Apr 06 21:16:26 GMT 2023","6372","tests","test_Subscription","TestContactUs","","","test_TestCase22_Add_to_cart_from_Recommended_items[chromium]",""
"passed","Thu Apr 06 21:16:12 GMT 2023","Thu Apr 06 21:16:15 GMT 2023","2889","tests","test_Subscription","TestContactUs","","","test_TestCase10_Verify_Subscription_in_home_page[chromium]",""
"passed","Thu Apr 06 21:14:53 GMT 2023","Thu Apr 06 21:14:53 GMT 2023","658","tests","test_Contact_Us_Form","TestContactUs","","","test_TestCase7_Verify_Test_Cases_Page[chromium]",""
"passed","Thu Apr 06 21:16:27 GMT 2023","Thu Apr 06 21:16:30 GMT 2023","2883","tests","test_Subscription","TestContactUs","","","test_TestCase25_Verify_Scroll_Up_using_Arrow_button_and_Scroll_Down_functionality[chromium]",""
"passed","Thu Apr 06 21:16:10 GMT 2023","Thu Apr 06 21:16:11 GMT 2023","750","tests","test_Signup_Login","TestSignup","","","test_Test_Case5_Register_User_with_existing_email[chromium]",""
"passed","Thu Apr 06 21:14:31 GMT 2023","Thu Apr 06 21:14:37 GMT 2023","6196","tests","test_Category_Products","TestContactUs","","","test_TestCase18_View_Category_Products[chromium]",""
"passed","Thu Apr 06 21:14:51 GMT 2023","Thu Apr 06 21:14:51 GMT 2023","756","tests","test_Contact_Us_Form","TestContactUs","","","test_TestCase6_Contact_Us_Form[chromium]",""
"passed","Thu Apr 06 21:15:37 GMT 2023","Thu Apr 06 21:15:38 GMT 2023","1060","tests","test_Products","TestContactUs","","","test_TestCase8_Verify_All_Products_and_product_detail_page[chromium]",""
"passed","Thu Apr 06 21:15:53 GMT 2023","Thu Apr 06 21:15:54 GMT 2023","744","tests","test_Products","TestContactUs","","","test_TestCase17_Remove_Products_From_Cart[chromium]",""
"passed","Thu Apr 06 21:16:32 GMT 2023","Thu Apr 06 21:16:34 GMT 2023","2774","tests","test_Subscription","TestContactUs","","","test_TestCase26_Verify_Scroll_Up_without_Arrow_button_and_Scroll_Down_functionality[chromium]",""
"passed","Thu Apr 06 21:15:51 GMT 2023","Thu Apr 06 21:15:52 GMT 2023","905","tests","test_Products","TestContactUs","","","test_TestCase13_Verify_Product_quantity_in_Cart[chromium]",""
"passed","Thu Apr 06 21:16:02 GMT 2023","Thu Apr 06 21:16:04 GMT 2023","2693","tests","test_Signup_Login","TestSignup","","","test_TestCase2_Login_User_with_correct_email_and_password[chromium]",""
"passed","Thu Apr 06 21:14:42 GMT 2023","Thu Apr 06 21:14:47 GMT 2023","5267","tests","test_Category_Products","TestContactUs","","","test_TestCase20_Search_Products_and_Verify_Cart_After_Login[chromium]",""
"passed","Thu Apr 06 21:15:03 GMT 2023","Thu Apr 06 21:15:10 GMT 2023","7698","tests","test_Place_Order","TestContactUs","","","test_TestCase15_Place_Order_Register_before_Checkout[chromium]",""
"passed","Thu Apr 06 21:16:16 GMT 2023","Thu Apr 06 21:16:19 GMT 2023","2865","tests","test_Subscription","TestContactUs","","","test_TestCase11_Verify_Subscription_in_Cart_page[chromium]",""
"passed","Thu Apr 06 21:15:55 GMT 2023","Thu Apr 06 21:16:00 GMT 2023","5331","tests","test_Signup_Login","TestSignup","","","test_TestCase1_Register_User[chromium]",""
"passed","Thu Apr 06 21:15:42 GMT 2023","Thu Apr 06 21:15:49 GMT 2023","7174","tests","test_Products","TestContactUs","","","test_TestCase12_Add_Products_in_Cart[chromium]",""
"passed","Thu Apr 06 21:14:48 GMT 2023","Thu Apr 06 21:14:50 GMT 2023","1209","tests","test_Category_Products","TestContactUs","","","test_TestCase21_Add_review_on_product[chromium]",""
"passed","Thu Apr 06 21:14:54 GMT 2023","Thu Apr 06 21:15:01 GMT 2023","7093","tests","test_Place_Order","TestContactUs","","","test_TestCase14_Place_Order_Register_while_Checkout[chromium]",""
"passed","Thu Apr 06 21:15:12 GMT 2023","Thu Apr 06 21:15:21 GMT 2023","9450","tests","test_Place_Order","TestContactUs","","","test_TestCase16_Login_before_Checkout[chromium]",""
"passed","Thu Apr 06 21:14:39 GMT 2023","Thu Apr 06 21:14:40 GMT 2023","1633","tests","test_Category_Products","TestContactUs","","","test_TestCase19_View_and_Cart_Brand_Products[chromium]",""
"passed","Thu Apr 06 21:15:30 GMT 2023","Thu Apr 06 21:15:36 GMT 2023","5884","tests","test_Place_Order","TestContactUs","","","test_TestCase24_Download_Invoice_after_purchase_order[chromium]",""
