"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 20 13:44:52 GMT 2023","Thu Apr 20 13:44:56 GMT 2023","3466","tests","test_Signup_Login","TestSignup","","","test_TestCase2_Login_User_with_correct_email_and_password",""
"passed","Thu Apr 20 13:44:37 GMT 2023","Thu Apr 20 13:44:39 GMT 2023","1134","tests","test_Products","TestContactUs","","","test_TestCase8_Verify_All_Products_and_product_detail_page",""
"passed","Thu Apr 20 13:44:59 GMT 2023","Thu Apr 20 13:45:00 GMT 2023","1338","tests","test_Signup_Login","TestSignup","","","test_TestCase4_Logout_User",""
"passed","Thu Apr 20 13:45:25 GMT 2023","Thu Apr 20 13:45:29 GMT 2023","3360","tests","test_Subscription","TestContactUs","","","test_TestCase26_Verify_Scroll_Up_without_Arrow_button_and_Scroll_Down_functionality",""
"passed","Thu Apr 20 13:45:21 GMT 2023","Thu Apr 20 13:45:24 GMT 2023","3344","tests","test_Subscription","TestContactUs","","","test_TestCase25_Verify_Scroll_Up_using_Arrow_button_and_Scroll_Down_functionality",""
"passed","Thu Apr 20 13:44:30 GMT 2023","Thu Apr 20 13:44:36 GMT 2023","6218","tests","test_Place_Order","TestContactUs","","","test_TestCase24_Download_Invoice_after_purchase_order",""
"passed","Thu Apr 20 13:43:10 GMT 2023","Thu Apr 20 13:43:16 GMT 2023","6252","tests","test_Category_Products","TestContactUs","","","test_TestCase18_View_Category_Products[chromium]",""
"passed","Thu Apr 20 13:44:43 GMT 2023","Thu Apr 20 13:44:44 GMT 2023","822","tests","test_Products","TestContactUs","","","test_TestCase17_Remove_Products_From_Cart",""
"passed","Thu Apr 20 13:43:28 GMT 2023","Thu Apr 20 13:43:36 GMT 2023","7691","tests","test_Products","TestContactUs","","","test_TestCase12_Add_Products_in_Cart[chromium]",""
"passed","Thu Apr 20 13:45:04 GMT 2023","Thu Apr 20 13:45:07 GMT 2023","3334","tests","test_Subscription","TestContactUs","","","test_TestCase10_Verify_Subscription_in_home_page",""
"passed","Thu Apr 20 13:44:12 GMT 2023","Thu Apr 20 13:44:20 GMT 2023","8774","tests","test_Place_Order","TestContactUs","","","test_TestCase16_Login_before_Checkout",""
"passed","Thu Apr 20 13:44:22 GMT 2023","Thu Apr 20 13:44:29 GMT 2023","6918","tests","test_Place_Order","TestContactUs","","","test_TestCase23_Verify_address_details_in_checkout_page",""
"passed","Thu Apr 20 13:43:39 GMT 2023","Thu Apr 20 13:43:41 GMT 2023","1505","tests","test_Category_Products","TestContactUs","","","test_TestCase21_Add_review_on_product",""
"passed","Thu Apr 20 13:43:37 GMT 2023","Thu Apr 20 13:43:38 GMT 2023","1071","tests","test_Products","TestContactUs","","","test_TestCase13_Verify_Product_quantity_in_Cart[chromium]",""
"passed","Thu Apr 20 13:44:00 GMT 2023","Thu Apr 20 13:44:10 GMT 2023","10532","tests","test_Place_Order","TestContactUs","","","test_TestCase15_Place_Order_Register_before_Checkout",""
"passed","Thu Apr 20 13:43:18 GMT 2023","Thu Apr 20 13:43:20 GMT 2023","1664","tests","test_Category_Products","TestContactUs","","","test_TestCase19_View_and_Cart_Brand_Products[chromium]",""
"passed","Thu Apr 20 13:43:47 GMT 2023","Thu Apr 20 13:43:48 GMT 2023","726","tests","test_Contact_Us_Form","TestContactUs","","","test_TestCase7_Verify_Test_Cases_Page",""
"passed","Thu Apr 20 13:43:21 GMT 2023","Thu Apr 20 13:43:26 GMT 2023","5606","tests","test_Category_Products","TestContactUs","","","test_TestCase20_Search_Products_and_Verify_Cart_After_Login[chromium]",""
"passed","Thu Apr 20 13:43:42 GMT 2023","Thu Apr 20 13:43:46 GMT 2023","3967","tests","test_Contact_Us_Form","TestContactUs","","","test_TestCase6_Contact_Us_Form",""
"passed","Thu Apr 20 13:45:13 GMT 2023","Thu Apr 20 13:45:20 GMT 2023","6425","tests","test_Subscription","TestContactUs","","","test_TestCase22_Add_to_cart_from_Recommended_items",""
"passed","Thu Apr 20 13:45:02 GMT 2023","Thu Apr 20 13:45:03 GMT 2023","738","tests","test_Signup_Login","TestSignup","","","test_Test_Case5_Register_User_with_existing_email",""
"passed","Thu Apr 20 13:44:40 GMT 2023","Thu Apr 20 13:44:42 GMT 2023","1600","tests","test_Products","TestContactUs","","","test_TestCase9_Search_Product",""
"passed","Thu Apr 20 13:44:57 GMT 2023","Thu Apr 20 13:44:58 GMT 2023","747","tests","test_Signup_Login","TestSignup","","","test_TestCase3_Login_User_with_incorrect_email_and_password",""
"passed","Thu Apr 20 13:43:49 GMT 2023","Thu Apr 20 13:43:58 GMT 2023","9076","tests","test_Place_Order","TestContactUs","","","test_TestCase14_Place_Order_Register_while_Checkout",""
"passed","Thu Apr 20 13:45:08 GMT 2023","Thu Apr 20 13:45:12 GMT 2023","3447","tests","test_Subscription","TestContactUs","","","test_TestCase11_Verify_Subscription_in_Cart_page",""
"passed","Thu Apr 20 13:44:45 GMT 2023","Thu Apr 20 13:44:51 GMT 2023","6129","tests","test_Signup_Login","TestSignup","","","test_TestCase1_Register_User",""
