"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 09 19:01:28 GMT 2023","Sun Apr 09 19:01:35 GMT 2023","6980","tests","test_Place_Order","TestContactUs","","","test_TestCase16_Login_before_Checkout",""
"broken","Sun Apr 09 19:01:06 GMT 2023","Sun Apr 09 19:01:07 GMT 2023","431","tests","test_Contact_Us_Form","TestContactUs","","","test_TestCase6_Contact_Us_Form",""
"passed","Sun Apr 09 19:01:54 GMT 2023","Sun Apr 09 19:01:55 GMT 2023","1322","tests","test_Products","TestContactUs","","","test_TestCase9_Search_Product",""
"passed","Sun Apr 09 19:00:45 GMT 2023","Sun Apr 09 19:00:46 GMT 2023","1228","tests","test_Category_Products","TestContactUs","","","test_TestCase19_View_and_Cart_Brand_Products[chromium]",""
"passed","Sun Apr 09 19:01:57 GMT 2023","Sun Apr 09 19:01:58 GMT 2023","593","tests","test_Products","TestContactUs","","","test_TestCase17_Remove_Products_From_Cart",""
"passed","Sun Apr 09 19:01:59 GMT 2023","Sun Apr 09 19:02:03 GMT 2023","4295","tests","test_Signup_Login","TestSignup","","","test_TestCase1_Register_User",""
"passed","Sun Apr 09 19:02:04 GMT 2023","Sun Apr 09 19:02:07 GMT 2023","2679","tests","test_Signup_Login","TestSignup","","","test_TestCase2_Login_User_with_correct_email_and_password",""
"passed","Sun Apr 09 19:00:37 GMT 2023","Sun Apr 09 19:00:43 GMT 2023","6026","tests","test_Category_Products","TestContactUs","","","test_TestCase18_View_Category_Products[chromium]",""
"passed","Sun Apr 09 19:01:08 GMT 2023","Sun Apr 09 19:01:09 GMT 2023","516","tests","test_Contact_Us_Form","TestContactUs","","","test_TestCase7_Verify_Test_Cases_Page",""
"passed","Sun Apr 09 19:01:20 GMT 2023","Sun Apr 09 19:01:26 GMT 2023","6818","tests","test_Place_Order","TestContactUs","","","test_TestCase15_Place_Order_Register_before_Checkout",""
"passed","Sun Apr 09 19:01:51 GMT 2023","Sun Apr 09 19:01:52 GMT 2023","859","tests","test_Products","TestContactUs","","","test_TestCase8_Verify_All_Products_and_product_detail_page",""
"passed","Sun Apr 09 19:02:19 GMT 2023","Sun Apr 09 19:02:21 GMT 2023","2821","tests","test_Subscription","TestContactUs","","","test_TestCase11_Verify_Subscription_in_Cart_page",""
"passed","Sun Apr 09 19:01:44 GMT 2023","Sun Apr 09 19:01:50 GMT 2023","5981","tests","test_Place_Order","TestContactUs","","","test_TestCase24_Download_Invoice_after_purchase_order",""
"passed","Sun Apr 09 19:02:34 GMT 2023","Sun Apr 09 19:02:36 GMT 2023","2563","tests","test_Subscription","TestContactUs","","","test_TestCase26_Verify_Scroll_Up_without_Arrow_button_and_Scroll_Down_functionality",""
"passed","Sun Apr 09 19:02:08 GMT 2023","Sun Apr 09 19:02:09 GMT 2023","659","tests","test_Signup_Login","TestSignup","","","test_TestCase3_Login_User_with_incorrect_email_and_password",""
"passed","Sun Apr 09 19:01:38 GMT 2023","Sun Apr 09 19:01:43 GMT 2023","4927","tests","test_Place_Order","TestContactUs","","","test_TestCase23_Verify_address_details_in_checkout_page",""
"passed","Sun Apr 09 19:02:30 GMT 2023","Sun Apr 09 19:02:33 GMT 2023","2413","tests","test_Subscription","TestContactUs","","","test_TestCase25_Verify_Scroll_Up_using_Arrow_button_and_Scroll_Down_functionality",""
"passed","Sun Apr 09 19:00:47 GMT 2023","Sun Apr 09 19:00:52 GMT 2023","4792","tests","test_Category_Products","TestContactUs","","","test_TestCase20_Search_Products_and_Verify_Cart_After_Login[chromium]",""
"passed","Sun Apr 09 19:01:04 GMT 2023","Sun Apr 09 19:01:05 GMT 2023","960","tests","test_Category_Products","TestContactUs","","","test_TestCase21_Add_review_on_product",""
"passed","Sun Apr 09 19:02:15 GMT 2023","Sun Apr 09 19:02:17 GMT 2023","2595","tests","test_Subscription","TestContactUs","","","test_TestCase10_Verify_Subscription_in_home_page",""
"passed","Sun Apr 09 19:02:23 GMT 2023","Sun Apr 09 19:02:29 GMT 2023","6280","tests","test_Subscription","TestContactUs","","","test_TestCase22_Add_to_cart_from_Recommended_items",""
"passed","Sun Apr 09 19:00:53 GMT 2023","Sun Apr 09 19:01:00 GMT 2023","6861","tests","test_Products","TestContactUs","","","test_TestCase12_Add_Products_in_Cart[chromium]",""
"passed","Sun Apr 09 19:02:13 GMT 2023","Sun Apr 09 19:02:13 GMT 2023","610","tests","test_Signup_Login","TestSignup","","","test_Test_Case5_Register_User_with_existing_email",""
"passed","Sun Apr 09 19:01:02 GMT 2023","Sun Apr 09 19:01:02 GMT 2023","820","tests","test_Products","TestContactUs","","","test_TestCase13_Verify_Product_quantity_in_Cart[chromium]",""
"passed","Sun Apr 09 19:02:10 GMT 2023","Sun Apr 09 19:02:11 GMT 2023","1133","tests","test_Signup_Login","TestSignup","","","test_TestCase4_Logout_User",""
"passed","Sun Apr 09 19:01:10 GMT 2023","Sun Apr 09 19:01:17 GMT 2023","7091","tests","test_Place_Order","TestContactUs","","","test_TestCase14_Place_Order_Register_while_Checkout",""
