"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 09 17:16:38 GMT 2023","Sun Apr 09 17:16:39 GMT 2023","725","tests","test_Signup_Login","TestSignup","","","test_TestCase3_Login_User_with_incorrect_email_and_password",""
"failed","Sun Apr 09 17:14:29 GMT 2023","Sun Apr 09 17:14:34 GMT 2023","5260","tests","test_Category_Products","TestContactUs","","","test_TestCase21_Add_review_on_product",""
"passed","Sun Apr 09 17:15:30 GMT 2023","Sun Apr 09 17:15:36 GMT 2023","6520","tests","test_Place_Order","TestContactUs","","","test_TestCase24_Download_Invoice_after_purchase_order",""
"passed","Sun Apr 09 17:17:08 GMT 2023","Sun Apr 09 17:17:11 GMT 2023","2650","tests","test_Subscription","TestContactUs","","","test_TestCase26_Verify_Scroll_Up_without_Arrow_button_and_Scroll_Down_functionality",""
"failed","Sun Apr 09 17:15:39 GMT 2023","Sun Apr 09 17:15:44 GMT 2023","5406","tests","test_Products","TestContactUs","","","test_TestCase8_Verify_All_Products_and_product_detail_page",""
"passed","Sun Apr 09 17:15:02 GMT 2023","Sun Apr 09 17:15:09 GMT 2023","7609","tests","test_Place_Order","TestContactUs","","","test_TestCase15_Place_Order_Register_before_Checkout",""
"broken","Sun Apr 09 17:12:57 GMT 2023","Sun Apr 09 17:13:01 GMT 2023","4328","tests","test_Category_Products","TestContactUs","","","test_TestCase18_View_Category_Products[chromium]",""
"passed","Sun Apr 09 17:16:46 GMT 2023","Sun Apr 09 17:16:49 GMT 2023","2708","tests","test_Subscription","TestContactUs","","","test_TestCase10_Verify_Subscription_in_home_page",""
"failed","Sun Apr 09 17:16:44 GMT 2023","Sun Apr 09 17:16:44 GMT 2023","596","tests","test_Signup_Login","TestSignup","","","test_Test_Case5_Register_User_with_existing_email",""
"passed","Sun Apr 09 17:17:04 GMT 2023","Sun Apr 09 17:17:06 GMT 2023","2543","tests","test_Subscription","TestContactUs","","","test_TestCase25_Verify_Scroll_Up_using_Arrow_button_and_Scroll_Down_functionality",""
"passed","Sun Apr 09 17:14:52 GMT 2023","Sun Apr 09 17:15:00 GMT 2023","8142","tests","test_Place_Order","TestContactUs","","","test_TestCase14_Place_Order_Register_while_Checkout",""
"passed","Sun Apr 09 17:16:33 GMT 2023","Sun Apr 09 17:16:36 GMT 2023","3117","tests","test_Signup_Login","TestSignup","","","test_TestCase2_Login_User_with_correct_email_and_password",""
"broken","Sun Apr 09 17:15:49 GMT 2023","Sun Apr 09 17:16:19 GMT 2023","30456","tests","test_Products","TestContactUs","","","test_TestCase9_Search_Product",""
"broken","Sun Apr 09 17:13:49 GMT 2023","Sun Apr 09 17:14:19 GMT 2023","30184","tests","test_Products","TestContactUs","","","test_TestCase12_Add_Products_in_Cart[chromium]",""
"broken","Sun Apr 09 17:14:38 GMT 2023","Sun Apr 09 17:14:39 GMT 2023","584","tests","test_Contact_Us_Form","TestContactUs","","","test_TestCase6_Contact_Us_Form",""
"failed","Sun Apr 09 17:14:41 GMT 2023","Sun Apr 09 17:14:47 GMT 2023","5412","tests","test_Contact_Us_Form","TestContactUs","","","test_TestCase7_Verify_Test_Cases_Page",""
"broken","Sun Apr 09 17:13:05 GMT 2023","Sun Apr 09 17:13:36 GMT 2023","30511","tests","test_Category_Products","TestContactUs","","","test_TestCase19_View_and_Cart_Brand_Products[chromium]",""
"passed","Sun Apr 09 17:15:12 GMT 2023","Sun Apr 09 17:15:20 GMT 2023","7997","tests","test_Place_Order","TestContactUs","","","test_TestCase16_Login_before_Checkout",""
"broken","Sun Apr 09 17:13:41 GMT 2023","Sun Apr 09 17:13:43 GMT 2023","2739","tests","test_Category_Products","TestContactUs","","","test_TestCase20_Search_Products_and_Verify_Cart_After_Login[chromium]",""
"passed","Sun Apr 09 17:16:51 GMT 2023","Sun Apr 09 17:16:53 GMT 2023","2745","tests","test_Subscription","TestContactUs","","","test_TestCase11_Verify_Subscription_in_Cart_page",""
"passed","Sun Apr 09 17:16:26 GMT 2023","Sun Apr 09 17:16:31 GMT 2023","4569","tests","test_Signup_Login","TestSignup","","","test_TestCase1_Register_User",""
"passed","Sun Apr 09 17:16:24 GMT 2023","Sun Apr 09 17:16:25 GMT 2023","728","tests","test_Products","TestContactUs","","","test_TestCase17_Remove_Products_From_Cart",""
"passed","Sun Apr 09 17:16:55 GMT 2023","Sun Apr 09 17:17:02 GMT 2023","6559","tests","test_Subscription","TestContactUs","","","test_TestCase22_Add_to_cart_from_Recommended_items",""
"failed","Sun Apr 09 17:14:24 GMT 2023","Sun Apr 09 17:14:24 GMT 2023","442","tests","test_Products","TestContactUs","","","test_TestCase13_Verify_Product_quantity_in_Cart[chromium]",""
"passed","Sun Apr 09 17:15:22 GMT 2023","Sun Apr 09 17:15:28 GMT 2023","5600","tests","test_Place_Order","TestContactUs","","","test_TestCase23_Verify_address_details_in_checkout_page",""
"passed","Sun Apr 09 17:16:41 GMT 2023","Sun Apr 09 17:16:42 GMT 2023","1254","tests","test_Signup_Login","TestSignup","","","test_TestCase4_Logout_User",""
